name,pos_detail,team_full,fa_type,snap_pct,age,prior_apy,prior_gtd,team,pos_group,slug
Drew Sanders,LB,Broncos,UFA,0.0,27.0,1433683.0,1170712.0,DEN,LB,drew-sanders
Lucas Krull,TE,Broncos,UFA,4.6,29.0,1430000.0,100000.0,DEN,TE,lucas-krull
Jaleel McLaughlin,RB,Broncos,UFA,7.5,27.0,1430000.0,125000.0,DEN,RB,jaleel-mclaughlin
Tank Dell,WR,Texans,UFA,0.0,28.0,1422276.0,1137528.0,HOU,WR,tank-dell
Byron Young,IDL,Eagles,UFA,30.0,27.0,1417178.0,1122696.0,PHI,IDL,byron-young
Luke Tenuta,LT,Colts,UFA,2.6,28.0,1415000.0,300000.0,IND,OL,luke-tenuta
Jack Cochrane,LB,Chiefs,UFA,8.6,28.0,1415000.0,650000.0,KC,LB,jack-cochrane
Kendre Miller,RB,Saints,UFA,10.1,25.0,1413578.0,1112228.0,NO,RB,kendre-miller
Ahkello Witherspoon,CB,Commanders,UFA,15.4,32.0,1412500.0,125000.0,WAS,CB,ahkello-witherspoon
Garrett Williams,CB,Cardinals,UFA,48.3,26.0,1408733.0,1098132.0,ARI,CB,garrett-williams
Jalin Hyatt,WR,Giants,UFA,14.9,26.0,1406329.0,1091140.0,NYG,WR,jalin-hyatt
Cedric Tillman,WR,Browns,UFA,47.6,27.0,1402616.0,1080336.0,CLE,WR,cedric-tillman
Nick Westbrook-Ikhine,WR,Colts,UFA,39.3,30.0,1402500.0,437500.0,IND,WR,nick-westbrook-ikhine
Matt Hennessy,C,Cowboys,UFA,15.4,30.0,1402500.0,1262500.0,DAL,OL,matt-hennessy
Lloyd Cushenberry,C,Bills,UFA,87.3,30.0,1402500.0,1262500.0,BUF,OL,lloyd-cushenberry
Jonah Williams,IDL,Cardinals,UFA,29.0,32.0,1402500.0,187500.0,ARI,IDL,jonah-williams
Terrell Burgess,S,Saints,UFA,10.5,29.0,1402500.0,25000.0,NO,S,terrell-burgess
Rodney Thomas,CB,Seahawks,UFA,12.9,29.0,1402500.0,187500.0,SEA,CB,rodney-thomas
Mykal Walker,LB,Jets,UFA,17.2,30.0,1402500.0,187500.0,NYJ,LB,mykal-walker
Jack Driscoll,RT,Steelers,UFA,0.0,30.0,1402500.0,187500.0,PIT,OL,jack-driscoll
Trevis Gipson,EDGE,Panthers,UFA,22.9,30.0,1402500.0,598800.0,CAR,EDGE,trevis-gipson
Jonathan Owens,S,Colts,UFA,4.4,32.0,1402500.0,187500.0,IND,S,jonathan-owens
